Semaine,Jour,Date,ActivityNb,Activity1,Activity2,Activity3,Activity4,Activity5
24,Lundi,15/12/2025,,,,,,
24,Mardi,16/12/2025,,,,,,
24,Mercredi,17/12/2025,,,,,,
24,Jeudi,18/12/2025,,,,,,
24,Vendredi,19/12/2025,,,,,,
24,Samedi,20/12/2025,,,,,,
24,Dimanche,21/12/2025,,,,,,
25,Lundi,22/12/2025,,,,,,
25,Mardi,23/12/2025,,,,,,
25,Mercredi,24/12/2025,,,,,,
25,Jeudi,25/12/2025,,,,,,
25,Vendredi,26/12/2025,,,,,,
25,Samedi,27/12/2025,,,,,,
25,Dimanche,28/12/2025,,,,,,
26,Lundi,29/12/2025,,,,,,
26,Mardi,30/12/2025,,,,,,
26,Mercredi,31/12/2025,,,,,,
